|'diaqua(15-crown-5)iron(II) nitrate'|||Acta Crystallographica, Section B|2008 64(6) 738 749
C10 H24 Fe N2 O13
14.507(2) 14.226(2) 68.390(6) 90.00 96.23(2) 90.00
B1211
O6_1 ? ? 0.1775(3) 0.6753(3) 0.07905(5) 1 0.02081(16)
H1W_1 ? ? 0.176(3) 0.699(2) 0.0680(3) 1 0.025
H2W_1 ? ? 0.162(3) 0.717(2) 0.0863(5) 1 0.025
O7_1 ? ? 0.3066(3) 0.4320(3) 0.10150(5) 1 0.02090(17)
H3W_1 ? ? 0.320(3) 0.3775(12) 0.0993(5) 1 0.025
H4W_1 ? ? 0.328(3) 0.444(3) 0.1127(3) 1 0.025
Fe1_1 ? ? 0.24290(6) 0.55447(6) 0.089830(10) 1 0.01219(7)
O1_1 ? ? 0.1220(2) 0.5221(3) 0.10650(5) 1 0.01543(15)
O2_1 ? ? 0.1553(2) 0.4489(3) 0.07201(5) 1 0.01650(15)
O3_1 ? ? 0.2973(2) 0.5468(3) 0.06064(5) 1 0.01685(16)
O4_1 ? ? 0.3807(2) 0.6248(3) 0.09345(5) 1 0.01722(15)
O5_1 ? ? 0.2623(3) 0.6244(3) 0.11836(5) 1 0.02154(16)
C1_1 ? ? 0.0742(4) 0.4377(4) 0.09971(8) 1 0.0203(2)
H11_1 ? ? 0.0129 0.4343 0.1048 1 0.024
H12_1 ? ? 0.1107 0.3815 0.1043 1 0.024
C2_1 ? ? 0.0627(4) 0.4418(5) 0.07754(8) 1 0.0205(2)
H21_1 ? ? 0.0318 0.3843 0.0719 1 0.025
H22_1 ? ? 0.0253 0.4971 0.0728 1 0.025
C3_1 ? ? 0.1611(4) 0.4583(5) 0.05137(7) 1 0.0178(2)
H31_1 ? ? 0.1275 0.5151 0.0462 1 0.021
H32_1 ? ? 0.1340 0.4026 0.0442 1 0.021
C4_1 ? ? 0.2636(4) 0.4664(4) 0.04914(8) 1 0.0175(2)
H41_1 ? ? 0.2967 0.4088 0.0540 1 0.021
H42_1 ? ? 0.2731 0.4755 0.0351 1 0.021
C5_1 ? ? 0.3967(3) 0.5574(5) 0.06258(7) 1 0.0210(2)
H51_1 ? ? 0.4187 0.5666 0.0495 1 0.025
H52_1 ? ? 0.4270 0.5007 0.0687 1 0.025
C6_1 ? ? 0.4184(4) 0.6406(4) 0.07512(8) 1 0.0228(2)
H61_1 ? ? 0.4864 0.6496 0.0775 1 0.027
H62_1 ? ? 0.3906 0.6976 0.0686 1 0.027
C7_1 ? ? 0.3822(4) 0.7053(4) 0.10597(8) 1 0.0207(2)
H71_1 ? ? 0.3435 0.7561 0.0995 1 0.025
H72_1 ? ? 0.4464 0.7289 0.1089 1 0.025
C8_1 ? ? 0.3444(4) 0.6754(4) 0.12461(8) 1 0.0201(2)
H81_1 ? ? 0.3895 0.6351 0.1326 1 0.024
H82_1 ? ? 0.3302 0.7308 0.1325 1 0.024
C9_1 ? ? 0.1949(4) 0.6142(4) 0.13207(8) 1 0.0167(2)
H91_1 ? ? 0.1495 0.6664 0.1306 1 0.020
H92_1 ? ? 0.2254 0.6145 0.1457 1 0.020
C10_1 ? ? 0.1472(4) 0.5217(4) 0.12746(7) 1 0.0176(2)
H101_1 ? ? 0.1895 0.4687 0.1313 1 0.021
H102_1 ? ? 0.0914 0.5159 0.1345 1 0.021
O6_2 ? ? 0.3227(3) 0.4301(3) 0.23270(5) 1 0.02081(16)
H1W_2 ? ? 0.339(3) 0.388(2) 0.2256(5) 1 0.025
H2W_2 ? ? 0.347(2) 0.418(3) 0.2438(2) 1 0.025
O7_2 ? ? 0.1871(3) 0.6661(3) 0.20988(5) 1 0.02090(17)
H3W_2 ? ? 0.173(3) 0.7091(19) 0.2169(4) 1 0.025
H4W_2 ? ? 0.158(3) 0.674(3) 0.1991(3) 1 0.025
Fe2_2 ? ? 0.25606(6) 0.55152(6) 0.221884(11) 1 0.01219(7)
O1_2 ? ? 0.3775(2) 0.5848(3) 0.20503(5) 1 0.01543(15)
O2_2 ? ? 0.3405(2) 0.6562(3) 0.23915(5) 1 0.01650(15)
O3_2 ? ? 0.2024(2) 0.5587(3) 0.25158(5) 1 0.01685(16)
O4_2 ? ? 0.1202(2) 0.4751(3) 0.21893(5) 1 0.01722(15)
O5_2 ? ? 0.2356(3) 0.4827(3) 0.19308(5) 1 0.02154(16)
C1_2 ? ? 0.4240(4) 0.6694(4) 0.21186(8) 1 0.0203(2)
H11_2 ? ? 0.3878 0.7251 0.2069 1 0.024
H12_2 ? ? 0.4861 0.6727 0.2071 1 0.024
C2_2 ? ? 0.4329(4) 0.6667(5) 0.23384(7) 1 0.0205(2)
H21_2 ? ? 0.4722 0.6131 0.2388 1 0.025
H22_2 ? ? 0.4611 0.7256 0.2394 1 0.025
C3_2 ? ? 0.3346(4) 0.6479(4) 0.26015(7) 1 0.0178(2)
H31_2 ? ? 0.3625 0.7036 0.2672 1 0.021
H32_2 ? ? 0.3676 0.5909 0.2655 1 0.021
C4_2 ? ? 0.2342(4) 0.6415(4) 0.26240(7) 1 0.0175(2)
H41_2 ? ? 0.2243 0.6354 0.2764 1 0.021
H42_2 ? ? 0.2010 0.6981 0.2569 1 0.021
C5_2 ? ? 0.1032(4) 0.5457(5) 0.24959(8) 1 0.0210(2)
H51_2 ? ? 0.0715 0.6000 0.2427 1 0.025
H52_2 ? ? 0.0806 0.5389 0.2627 1 0.025
C6_2 ? ? 0.0849(4) 0.4556(4) 0.23748(8) 1 0.0228(2)
H61_2 ? ? 0.1177 0.4015 0.2441 1 0.027
H62_2 ? ? 0.0177 0.4415 0.2355 1 0.027
C7_2 ? ? 0.1215(4) 0.3924(4) 0.20641(8) 1 0.0207(2)
H71_2 ? ? 0.0585 0.3653 0.2038 1 0.025
H72_2 ? ? 0.1636 0.3439 0.2128 1 0.025
C8_2 ? ? 0.1558(4) 0.4259(4) 0.18748(8) 1 0.0201(2)
H81_2 ? ? 0.1724 0.3717 0.1795 1 0.024
H82_2 ? ? 0.1073 0.4631 0.1797 1 0.024
C9_2 ? ? 0.3042(4) 0.4896(4) 0.17991(8) 1 0.0167(2)
H91_2 ? ? 0.2753 0.4875 0.1661 1 0.020
